id, time (s), size (bits),,0,0
412,1456077969,1456077969,6096,41.07848001,60789.76043
413,1456077969,1456077969,6216,41.17753005,62756.15523
414,1456077969,1456077969,6344,41.27737999,63535.34155
415,1456077969,1456077969,6472,41.37846994,64022.18737
416,1456077969,1456077969,6592,41.47866011,65794.8827
417,1456077970,1456077970,6712,41.57814002,67470.90694
418,1456077970,1456077970,6824,41.68024993,66829.94886
419,1456077970,1456077970,6936,41.78361011,67105.14884
420,1456077970,1456077970,7048,41.88932991,66666.78978
421,1456077970,1456077970,7152,41.99562001,67287.5448
422,1456077970,1456077970,7248,42.10418987,66758.85894
423,1456077970,1456077970,7344,42.21386003,66964.43091
424,1456077970,1456077970,7432,42.32504988,66840.63806
425,1456077970,1456077970,7512,42.43723989,66957.83451
426,1456077970,1456077970,7584,42.55053997,66937.28425
427,1456077971,1456077971,7648,42.66527009,66660.78637
428,1456077971,1456077971,7712,42.78077006,66770.57821
429,1456077971,1456077971,7760,42.8968699,66839.02727
430,1456077971,1456077971,7808,43.01418996,66552.98294
431,1456077971,1456077971,7840,43.13182998,66643.98818
432,1456077971,1456077971,7864,43.24978995,66666.68012
433,1456077971,1456077971,7880,43.36827993,66503.51324
434,1456077971,1456077971,7888,43.48705006,66414.00911
435,1456077972,1456077972,7888,43.60597992,66324.80525
436,1456077972,1456077972,7880,43.72505999,66173.96362
437,1456077972,1456077972,7864,43.8438499,66200.90811
438,1456077972,1456077972,7840,43.96200991,66350.70563
439,1456077972,1456077972,7800,44.08044004,65861.61391
440,1456077972,1456077972,7760,44.19776011,66143.84575
441,1456077972,1456077972,7712,44.31498003,65790.86281
442,1456077972,1456077972,7648,44.43136001,65715.77212
443,1456077972,1456077972,7584,44.54700994,65577.20733
444,1456077973,1456077973,7512,44.66122007,65773.50083
445,1456077973,1456077973,7432,44.77476001,65457.14559
446,1456077973,1456077973,7344,44.88691998,65477.90775
447,1456077973,1456077973,7248,44.99802995,65232.66877
448,1456077973,1456077973,7152,45.10797,65053.63485
449,1456077973,1456077973,7048,45.21602988,65223.09479
450,1456077973,1456077973,6936,45.32317996,64731.63754
451,1456077973,1456077973,6824,45.42844009,64829.86253
452,1456077973,1456077973,6704,45.53191996,64785.55205
453,1456077974,1456077974,6584,45.63418007,64384.83023
454,1456077974,1456077974,6464,45.73423004,64607.71389
455,1456077974,1456077974,6344,45.83279991,64360.43793
456,1456077974,1456077974,6216,45.92948008,64294.47077
457,1456077974,1456077974,6088,46.02479005,63875.79204
458,1456077974,1456077974,5968,46.11776996,64185.90994
459,1456077974,1456077974,5840,46.20892,64070.18202
460,1456077974,1456077974,5720,46.29858994,63789.49086
461,1456077974,1456077974,5592,46.38642001,63668.40208
462,1456077974,1456077974,5472,46.47239995,63642.75312
463,1456077974,1456077974,5360,46.55683994,63477.03044
464,1456077975,1456077975,5248,46.63960004,63412.20321
465,1456077975,1456077975,5136,46.72110009,63018.36361
466,1456077975,1456077975,5032,46.80036998,63479.33942
467,1456077975,1456077975,4936,46.87842989,63233.4817
468,1456077975,1456077975,4840,46.95511007,63119.30651
469,1456077975,1456077975,4752,47.03014994,63326.34113
470,1456077975,1456077975,4672,47.10475993,62618.95617
471,1456077975,1456077975,4600,47.17849994,62381.3352
472,1456077975,1456077975,4536,47.24935007,64022.46193
473,1456077975,1456077975,4472,47.32029009,63039.17232
474,1456077975,1456077975,4424,47.39036989,63128.03092
475,1456077975,1456077975,4376,47.45977998,63045.59283
476,1456077975,1456077975,4344,47.52839994,63305.18974
477,1456077976,1456077976,4320,47.59657001,63370.91863
478,1456077976,1456077976,4304,47.67759991,53116.20064
479,1456077976,1456077976,4296,47.77807999,42754.74318
480,1456077976,1456077976,4296,47.87803006,42981.45843
481,1456077976,1456077976,4304,47.97814989,42988.48725
482,1456077976,1456077976,4320,48.07834005,43118.00565
483,1456077976,1456077976,4344,48.17856002,43344.65693
484,1456077976,1456077976,4384,48.27749991,44309.72938
485,1456077976,1456077976,4424,48.37758994,44200.20794
486,1456077976,1456077976,4472,48.47785997,44599.5665
487,1456077977,1456077977,4536,48.57787991,45350.96074
488,1456077977,1456077977,4600,48.67810011,45898.929
489,1456077977,1456077977,4672,48.77820992,46668.75043
490,1456077977,1456077977,4752,48.87826991,47491.51169
491,1456077977,1456077977,4840,48.97830009,48385.39545
492,1456077977,1456077977,4936,49.07853007,49246.74305
493,1456077977,1456077977,5032,49.17880011,50184.48539
494,1456077977,1456077977,5136,49.27782989,51863.18731
495,1456077977,1456077977,5248,49.37813997,52317.76929
496,1456077977,1456077977,5360,49.47837996,53471.67219
497,1456077978,1456077978,5480,49.5785501,54706.9241
498,1456077978,1456077978,5600,49.67739987,56651.62202
499,1456077978,1456077978,5720,49.7813499,55026.44251
