id, time (s), size (bits),,
444,1456077972,7584,44.39941001,75893.26981
445,1456077972,7512,44.50041008,74376.18565
446,1456077972,7432,44.60038018,74342.22661
447,1456077972,7344,44.70053005,73330.10024
448,1456077973,7248,44.79943013,73286.08855
449,1456077973,7152,44.90042019,70818.85299
450,1456077973,7048,45.00043011,70473.01034
451,1456077973,6936,45.10043001,69360.06615
452,1456077973,6824,45.2003901,68267.24633
453,1456077973,6704,45.30040002,67033.35149
454,1456077973,6584,45.40037012,65859.69053
455,1456077973,6464,45.50048018,64568.93929
456,1456077973,6344,45.59940004,64132.71771
457,1456077973,6216,45.70053005,61465.43524
458,1456077974,6088,45.79965019,61420.4136
459,1456077974,5968,45.89968014,59662.13395
460,1456077974,5840,45.99967003,58405.90422
461,1456077974,5720,46.09966016,57205.6465
462,1456077974,5592,46.1996901,55903.25956
463,1456077974,5472,46.29978013,54670.78161
464,1456077974,5360,46.39991999,53525.1417
465,1456077974,5248,46.49995017,52464.16433
466,1456077974,5136,46.59998012,51344.62466
467,1456077974,5032,46.7000401,50289.83308
468,1456077975,4936,46.80009007,49335.34588
469,1456077975,4840,46.90012002,48385.51078
470,1456077975,4752,47.00019002,47486.75941
471,1456077975,4672,47.1003201,46659.30503
472,1456077975,4600,47.20058012,45880.70132
473,1456077975,4536,47.29946017,45873.76202
474,1456077975,4472,47.40046,44277.3013
475,1456077975,4424,47.49950004,44668.8065
476,1456077975,4376,47.59943008,43790.63243
477,1456077975,4344,47.69949007,43413.95765
478,1456077976,4320,47.7994802,43204.26449
479,1456077976,4304,47.89953017,43018.50256
480,1456077976,4296,47.99978018,42852.86538
481,1456077976,4296,48.10005021,42844.30628
482,1456077976,4304,48.20012999,43005.69227
483,1456077976,4320,48.30026007,43143.87794
484,1456077976,4344,48.40047002,43348.98819
485,1456077976,4384,48.49949002,44273.88215
486,1456077976,4424,48.59951019,44231.0785
487,1456077976,4472,48.69974017,44617.38957
488,1456077977,4536,48.79987001,45301.1797
489,1456077977,4600,48.90007019,45908.10289
490,1456077977,4672,49.0001502,46682.64768
491,1456077977,4752,49.10018015,47505.77422
492,1456077977,4840,49.20026016,48361.30454
493,1456077977,4936,49.30035019,49315.60271
494,1456077977,5032,49.40056014,50214.5738
495,1456077977,5136,49.49980021,51753.29157
496,1456077977,5248,49.59999013,52380.5167
497,1456077977,5360,49.70018005,53498.39358
498,1456077978,5480,49.80044007,54657.87896
499,1456077978,5600,49.89937019,56605.61186
500,1456077978,5720,50.00046015,56583.26819
